id,start_date,mean,num_list_users,nsfw,media_type,num_episodes,rating,title,prequel,related,genre1,genre2,genre3,genre4,genre5,picture,main_genre,main_anime,best_anime
16498,2013-04-07,8.55,3967126,white,tv,25,r,Attack on Titan,False,18397 19285 19391 23775 23777 25777 25781 31374 35122 36106 42091 49739 51239 51240 51241,Action,Award Winning,Drama,Gore,Military,https://cdn.myanimelist.net/images/anime/10/47347l.webp,Action,16498,38524
1535,2006-10-04,8.62,3921867,white,tv,37,r,Death Note,False,2994,Psychological,Shounen,Supernatural,Suspense,,https://cdn.myanimelist.net/images/anime/1079/138100l.jpg,Psychological,1535,1535
5114,2009-04-05,9.09,3363139,white,tv,64,r,Fullmetal Alchemist: Brotherhood,False,121 6421 7902 9135,Action,Adventure,Drama,Fantasy,Military,https://cdn.myanimelist.net/images/anime/1208/94745l.jpg,Action,5114,5114
30276,2015-10-05,8.49,3235823,white,tv,12,r,One Punch Man,False,31704 31772 34134 39652 49895,Action,Adult Cast,Comedy,Parody,Seinen,https://cdn.myanimelist.net/images/anime/12/76049l.jpg,Action,30276,30276
11757,2012-07-08,7.21,3085382,white,tv,25,pg_13,Sword Art Online,False,16099 20021 21881 42916 53529 53588,Action,Adventure,Fantasy,Love Polygon,Romance,https://cdn.myanimelist.net/images/anime/11/39717l.webp,Action,11757,42916
38000,2019-04-06,8.46,3052741,white,tv,26,r,Demon Slayer: Kimetsu no Yaiba,False,40456 47398 48861 49926,Action,Award Winning,Fantasy,Historical,Shounen,https://cdn.myanimelist.net/images/anime/1286/99889l.jpg,Action,38000,47778
31964,2016-04-03,7.86,3038343,white,tv,13,pg_13,My Hero Academia,False,33486 33929 35262,Action,School,Shounen,Super Power,,https://cdn.myanimelist.net/images/anime/10/78745l.jpg,Action,31964,49918
20,2002-10-03,8.0,2866607,white,tv,220,pg_13,Naruto,False,442 594 761 936 1074 1735 2144 7367 53236 54688,Action,Adventure,Fantasy,Martial Arts,Shounen,https://cdn.myanimelist.net/images/anime/1141/142503l.webp,Action,20,1735
11061,2011-10-02,9.03,2851733,white,tv,148,pg_13,Hunter x Hunter,False,136 137 138 139 13271 19951 22049,Action,Adventure,Fantasy,Shounen,,https://cdn.myanimelist.net/images/anime/1337/99013l.jpg,Action,11061,11061
22319,2014-07-04,7.79,2832305,white,tv,12,r,Tokyo Ghoul,False,27899 30458 31297,Action,Fantasy,Gore,Horror,Psychological,https://cdn.myanimelist.net/images/anime/1498/134443l.jpg,Action,22319,22319
32281,2016-08-26,8.84,2758465,white,movie,1,pg_13,Your Name.,False,33902 40034,Award Winning,Drama,Romantic Subtext,Supernatural,,https://cdn.myanimelist.net/images/anime/5/87048l.webp,Drama,32281,32281
25777,2017-04-01,8.51,2736205,white,tv,12,r,Attack on Titan Season 2,True,16498 35760 36702 39478 42091 51239 51240 51241,Action,Drama,Gore,Military,Shounen,https://cdn.myanimelist.net/images/anime/4/84177l.webp,Action,16498,38524
9253,2011-04-06,9.07,2576693,white,tv,24,pg_13,Steins;Gate,False,4975 10863 13599 27957 30485 32188 32962,Drama,Psychological,Sci-Fi,Suspense,Time Travel,https://cdn.myanimelist.net/images/anime/1935/127974l.webp,Drama,9253,9253
40748,2020-10-03,8.6,2571931,white,tv,24,r,Jujutsu Kaisen,True,38777 48561 51009 52558 56243,Action,Award Winning,Fantasy,School,Shounen,https://cdn.myanimelist.net/images/anime/1171/109222l.jpg,Action,40748,51009
33486,2017-04-01,8.08,2532407,white,tv,25,pg_13,My Hero Academia Season 2,True,31964 35262 35459 36456,Action,School,Shounen,Super Power,,https://cdn.myanimelist.net/images/anime/12/85221l.jpg,Action,31964,49918
1735,2007-02-15,8.27,2498126,white,tv,500,pg_13,Naruto Shippuden,True,20 2472 4134 4437 6325 8246 10075 10589 12979 13667 16870 19511 28755 32365 34566 40971 53236 54688,Action,Adventure,Fantasy,Martial Arts,Shounen,https://cdn.myanimelist.net/images/anime/1565/111305l.jpg,Action,20,1735
19815,2014-04-09,8.06,2404947,white,tv,12,pg_13,"No Game, No Life",True,24991 33674 51157,Comedy,Ecchi,Fantasy,Isekai,Strategy Game,https://cdn.myanimelist.net/images/anime/1074/111944l.webp,Isekai,19815,33674
35760,2018-07-23,8.62,2383110,white,tv,12,r,Attack on Titan Season 3,True,25777 38524 39477 42091 51240 51241 54468,Action,Drama,Gore,Military,Shounen,https://cdn.myanimelist.net/images/anime/1173/92110l.webp,Action,16498,38524
21,1999-10-20,8.72,2373973,white,tv,0,pg_13,One Piece,False,459 460 461 462 463 464 465 466 813 1094 1237 1238 2020 2107 2385 2386 2490 3848 4155 5252 8171 8740 9999 10033 12001 12859 15323 16143 16239 16468 19123 22661 23933 23935 25161 28683 31289 31490 32051 32437 33338 33606 34165 36215 36239 37902 38234 38419 40181 40970 50410 50696 51162 51163 52139 52199 52921 53235 53878 53880 53890 55289 55647 56015 56055 57556 57557 58015 58307 58663,Action,Adventure,Fantasy,Shounen,,https://cdn.myanimelist.net/images/anime/1244/138851l.jpg,Action,21,21
28851,2016-09-17,8.93,2345859,white,movie,1,pg_13,A Silent Voice,False,35566,Award Winning,Drama,Romantic Subtext,Shounen,,https://cdn.myanimelist.net/images/anime/1122/96435l.jpg,Drama,28851,28851
38524,2019-04-29,9.05,2294421,white,tv,10,r,Attack on Titan Season 3 Part 2,True,35760 40028 42091,Action,Drama,Gore,Military,Shounen,https://cdn.myanimelist.net/images/anime/1517/100633l.jpg,Action,16498,38524
1575,2006-10-06,8.7,2262269,white,tv,25,r,Code Geass: Lelouch of the Rebellion,False,1953 2124 2904 4596 8888 12685 15197 15199 15201 17277 30711 33155 34438 34439 40334 40836 41075,Action,Award Winning,Drama,Mecha,Military,https://cdn.myanimelist.net/images/anime/1032/135088l.webp,Action,1575,2904
23273,2014-10-10,8.64,2225430,white,tv,22,pg_13,Your Lie in April,True,28069,Drama,Love Polygon,Music,Romance,School,https://cdn.myanimelist.net/images/anime/1405/143284l.jpg,Drama,23273,23273
4224,2008-10-02,8.06,2213894,white,tv,25,pg_13,Toradora!,False,6127 11553 23701 51200,Drama,Love Polygon,Romance,School,,https://cdn.myanimelist.net/images/anime/13/22128l.webp,Drama,4224,4224
31240,2016-04-04,8.23,2206613,white,tv,25,r,Re:ZERO -Starting Life in Another World-,True,33142 33569 36286 38389 38414 38472 39587 39988 41567,Drama,Fantasy,Isekai,Psychological,Suspense,https://cdn.myanimelist.net/images/anime/1522/128039l.webp,Isekai,31240,42203
36456,2018-04-07,8.01,2197301,white,tv,25,pg_13,My Hero Academia Season 3,True,33486 36896 38408 42603,Action,School,Shounen,Super Power,,https://cdn.myanimelist.net/images/anime/1319/92084l.jpg,Action,31964,49918
20507,2014-01-05,7.95,2171309,white,tv,12,pg_13,Noragami,False,20767 30503 32700 35773,Action,Fantasy,Mythology,Shounen,,https://cdn.myanimelist.net/images/anime/1886/128266l.webp,Action,20507,30503
31043,2016-01-08,8.3,2104821,white,tv,12,r,Erased,False,35815,Mystery,Psychological,Seinen,Supernatural,Suspense,https://cdn.myanimelist.net/images/anime/10/77957l.jpg,Mystery,31043,31043
22199,2014-07-07,7.47,2099831,white,tv,24,r,Akame ga Kill!,False,25241 26449,Action,Fantasy,Gore,Shounen,Super Power,https://cdn.myanimelist.net/images/anime/1429/95946l.jpg,Action,22199,22199
32182,2016-07-11,8.49,2088161,white,tv,12,pg_13,Mob Psycho 100,False,36616 37504 37510 52134,Action,Comedy,Super Power,Supernatural,,https://cdn.myanimelist.net/images/anime/8/80356l.webp,Action,32182,37510
6547,2010-04-03,8.05,2081597,white,tv,13,pg_13,Angel Beats!,False,9062 10067 48775 50685,Drama,School,Supernatural,,,https://cdn.myanimelist.net/images/anime/1244/111115l.webp,Drama,6547,6547
23755,2014-10-05,7.64,2065040,white,tv,24,pg_13,The Seven Deadly Sins,False,30347 31722 36923,Action,Adventure,Fantasy,Shounen,,https://cdn.myanimelist.net/images/anime/8/65409l.jpg,Action,23755,23755
24833,2015-01-10,8.08,2029093,white,tv,22,pg_13,Assassination Classroom,True,19759 28405 30654 33513 34389,Action,Comedy,School,Shounen,,https://cdn.myanimelist.net/images/anime/5/75639l.jpg,Action,24833,30654
10620,2011-10-09,7.4,2019466,white,tv,26,r+,The Future Diary,False,8460 12503 16762,Action,Gore,High Stakes Game,Psychological,Shounen,https://cdn.myanimelist.net/images/anime/13/33465l.webp,Action,10620,10620
40028,2020-12-07,8.78,2014110,white,tv,16,r,Attack on Titan: Final Season,True,38524 48583 49627 51241 51618,Action,Drama,Gore,Military,Shounen,https://cdn.myanimelist.net/images/anime/1000/110531l.jpg,Action,16498,38524
21881,2014-07-05,6.71,1984904,white,tv,24,pg_13,Sword Art Online II,True,20021 27891 28063 31765 36475 37278 37362 55994,Action,Adventure,Fantasy,Love Polygon,Romance,https://cdn.myanimelist.net/images/anime/1223/121999l.webp,Action,21881,39597
20583,2014-04-06,8.44,1983062,white,tv,25,pg_13,Haikyu!!,False,25303 28891 29755 30364 31675 40372,School,Shounen,Sports,Team Sports,,https://cdn.myanimelist.net/images/anime/7/76014l.webp,Sports,20583,32935
37779,2019-01-10,8.49,1978718,white,tv,12,r,The Promised Neverland,False,39617 47616,Fantasy,Mystery,Psychological,Sci-Fi,Shounen,https://cdn.myanimelist.net/images/anime/1830/118780l.webp,Mystery,37779,37779
